Porosity（%）,ED（gm/cc）,AOP(mm),S（%）,Fe（%）,Mn（%）,FSP(cm),High(cm),C/N,TNinf(mg/L),T(℃),HRT（h）,P(%),F(%),A(%),B(%),TNre(%)
43.6,2.71,15.41,0,0,0.46,30,60,2.56,21.16,22,72,26.14,8.79,11.27,5.46,43.06
43.6,2.71,15.41,0,0,0.46,30,60,2.56,21.16,22,96,26.14,8.79,11.27,5.46,63.65
46.4,2.19,6,0,0,0,32.5,600,0.45,10.81,28,48,38.71,2.37,14,26.12,49.58
46.4,2.19,6,0,0,0,32.5,600,0.45,10.81,28,48,38.71,2.37,14,26.12,41.58
46.4,2.19,6,0,0,0,32.5,600,0.45,10.81,28,32,38.71,2.37,14,26.12,36.62
46.4,2.19,6,0,0,0,32.5,600,0.45,10.81,28,32,38.71,2.37,14,26.12,32.45
46.4,2.19,6,0,0,0,22.5,600,0.45,10.81,28,10,38.71,2.37,14,26.12,30.63
11.25,2.96,4.5,50,19,0,0,600,0.45,10.81,28,48,79.88,2.99,2.91,7.22,96.94
11.25,2.96,4.5,50,19,0,22.5,600,0.45,10.81,28,48,79.88,2.99,2.91,7.22,96.8
11.25,2.96,4.5,50,19,0,22.5,600,0.45,10.81,28,32,79.88,2.99,2.91,7.22,94.52
11.25,2.96,4.5,50,19,0,22.5,600,0.45,10.81,28,32,79.88,2.99,2.91,7.22,92.06
11.25,2.96,4.5,50,19,0,22.5,600,0.45,10.81,28,10,79.88,2.99,2.91,7.22,90.71
54.4,4.84,15.41,53.45,46.55,0,90.26,1480,13.32,1.92,25,168,45.91,2.1,2.46,11.5,49.2
46.4,2.19,17.5,0,0,0,30,60,2.81,27.66,22.92,21,48.61,2.22,11.92,5.16,45.31
46.4,2.19,17.5,0,0,0,30,60,4.1,27.86,25.03,21,48,3.09,6.19,5.45,86.1
39.79,2.16,6.5,22.86,0,0,22.5,45,2,20.79,22.5,72,29.57,4.11,8.51,14.66,70.76
39.79,2.16,6.5,22.86,0,0,22.5,45,1,21.1,22.5,72,29.57,4.11,8.51,14.66,68.77
39.79,2.16,6.5,22.86,0,0,22.5,45,0.5,20.52,22.5,72,29.57,4.11,8.51,14.66,69.62
39.79,2.16,6.5,22.86,0,0,22.5,45,0.5,21.72,22.5,24,29.57,4.11,8.51,14.66,82.95
46.4,2.19,2,0,0,0,22.5,45,2,20.79,22.5,72,15.41,5.94,11.1,13.26,70.54
46.4,2.19,2,0,0,0,22.5,45,1,21.1,22.5,72,15.41,5.94,11.1,13.26,45.7
46.4,2.19,2,0,0,0,22.5,45,0.5,20.52,22.5,72,15.41,5.94,11.1,13.26,34.06
46.4,2.19,2,0,0,0,22.5,45,0.5,21.72,22.5,48,15.41,5.94,11.1,13.26,39.56
45.6,4.24,3,0,5.6,14,27.5,65,3.6,25,22.5,72,22.51,7.41,15.85,10.77,29.15
54.4,4.84,3,0,58.4,5.8,27.5,65,3.6,25,22.5,72,16.81,7.41,15.85,6.03,39.93
46.4,2.19,3,0,0,0,27.5,65,3.6,25,22.5,72,20.13,8.25,18.63,6.76,25.3
42.96,2.43,0,5.79,2.96,0,57.44,47.67,3.15,18.16,25.99,21.06,47.6,28.4,10.74,8.44,58.17
31.95,2.99,1.5,73.33,26.67,0,40,35,0,30,25,48,69.27,1.58,1.08,2.62,87.03
43.97,2.75,25.39,0,0,0,16.11,119.04,1.44,124.79,15.81,70.27,47.82,6.14,11.62,15.74,34.35
44.3,2.58,8.35,0,0,0,35,70,6.1,41.6,23.95,82.45,33.17,2.69,14.68,9.56,94.7
43.6,2.71,20,0,0,0,35,85,1.91,105,11,24,35.1,0.82,30.63,4.12,72.76
41.97,2.82,115.6,44.34,2.87,0,10,25,7.09,2.85,25,24,37.08,6.3,14.88,8.25,86.08
54.4,4.84,3,0,58.4,5.8,27.5,65,3.6,25,22.5,72,16.81,7.41,15.85,6.03,39.93
41.37,2.89,130.82,41.92,5.22,1.61,23.28,22.66,7.49,0.47,24.75,28.11,38.12,6.27,12.32,8.67,96.84
47,3.25,5,0,0.95,0,17.79,35.5,2.29,24,24,78,46.9,6.3,11.99,9.22,88
46.4,2.19,6,0,0,0,32.5,600,0.45,10.81,28,32,38.71,2.37,14,26.12,32.45
44.9,2.47,10.58,0,0,0,284.87,592.99,5.53,26.89,19.51,76.86,35.62,2.22,6.44,19.63,39.87
40.96,2.65,15.41,0,0,0,20,55,1.7,31.15,25,23.75,45.86,6.3,11.99,9.22,7.09
40.96,2.65,15.41,0,0,0,20,55,1.7,31.1,25,12,45.86,6.3,11.99,9.22,20.98
45.6,4.24,15.41,0,8.98,24.12,20,55,1.7,47.7,25,12,52.31,4.79,14.72,4.94,39.04
45.6,4.24,15.41,0,8.98,24.12,20,55,0,30.9,25,8,52.31,4.79,14.72,4.94,25.62
